TPR,FPR,Accuary
1.0,1.0,0.7
1.0,1.0,0.7
1.0,1.0,0.7
1.0,1.0,0.7
1.0,1.0,0.7
1.0,1.0,0.7
1.0,1.0,0.7
1.0,1.0,0.7
1.0,1.0,0.7
1.0,1.0,0.7
1.0,1.0,0.7
1.0,1.0,0.7
1.0,1.0,0.7
1.0,1.0,0.7
1.0,1.0,0.7
1.0,0.9998333611064822,0.7
1.0,0.9996667777407531,0.7
1.0,0.9996667777407531,0.7
1.0,0.9988346928583319,0.7
1.0,0.9975062344139651,0.7
1.0,0.9946949602122016,0.7
1.0,0.9905894006934126,0.7
1.0,0.9837678307919331,0.7
1.0,0.9713453132588635,0.7
1.0,0.9523809523809523,0.7
1.0,0.9229349330872174,0.7
1.0,0.885478158205431,0.7
1.0,0.8412787436904094,0.7
1.0,0.7874015748031495,0.7
0.9999147194269146,0.7250423011844331,0.7
1.0,0.6657418710464987,0.70005
1.0,0.6124553343542624,0.70005
1.0,0.5614938225383752,0.70005
0.9998826704212131,0.52261043826784,0.70005
0.9993530857808255,0.48838725450248555,0.7001
0.9994250395285325,0.4591735030284444,0.70035
0.9987263174653718,0.435964720460675,0.70055
0.9965028851197761,0.4174077445557034,0.70095
0.9963830192271084,0.40292940937139754,0.70195
0.9899754500818331,0.3899550026469031,0.7029
0.9891657638136512,0.379785505362366,0.70535
0.9771556550951848,0.3695526231091084,0.70785
0.9624744143734364,0.3573671729795552,0.71295
0.9591647331786542,0.34416826003824097,0.7212
0.9454209065679926,0.32942077060474606,0.73
0.937833449315704,0.3120657785709733,0.7418
0.9170464904284412,0.2902895208813733,0.7552
0.9112775130474245,0.265567883024434,0.7734
0.9069714803078316,0.2393787703760749,0.79295
0.8914884135472371,0.2090639504899433,0.8135
0.8972633467922836,0.17919186719855873,0.83785
0.8964589870013447,0.14950444072596214,0.86075
0.9021199819576003,0.12135423358602082,0.88385
0.9029345372460497,0.09370584457289655,0.90555
0.9178522257916475,0.07038741848868435,0.92705
0.9319664492078286,0.05150241914947795,0.94495
0.9480919649205973,0.037386730878904983,0.95955
0.9535160905840286,0.02499209111040812,0.9705
0.970873786407767,0.01731738035264485,0.98025
0.9772782799902272,0.011441503740491576,0.98625
0.9842442146725751,0.007403689296022087,0.9909
0.9891035165923725,0.0046360105249968475,0.9941
0.9915422885572139,0.0025031289111389077,0.9963
0.9947460595446584,0.001187277385490182,0.998
0.9974811083123426,0.0005614472863381126,0.99905
0.998733215100076,0.0002491746091073388,0.99955
0.999742864489586,0.0001862081807461058,0.9998
0.9994765768123528,6.180851721371283e-05,0.99985
1.0,6.145148405334311e-05,0.99995
1.0,6.089392278652017e-05,0.99995
0.999702823179792,0.0,0.99995
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
