TPR,FPR,Accuary
1.0,1.0,0.4
1.0,1.0,0.4
1.0,1.0,0.4
1.0,1.0,0.4
1.0,1.0,0.4
1.0,1.0,0.4
1.0,1.0,0.4
1.0,1.0,0.4
1.0,1.0,0.4
1.0,1.0,0.4
1.0,1.0,0.4
1.0,1.0,0.4
1.0,1.0,0.4
1.0,1.0,0.4
1.0,1.0,0.4
1.0,1.0,0.4
1.0,1.0,0.4
1.0,1.0,0.4
1.0,1.0,0.4
1.0,1.0,0.4
0.9997500624843789,1.0,0.4
0.9997500624843789,0.9998333055509252,0.4001
1.0,0.9996666666666667,0.4002
0.9995002498750625,0.9996665555185061,0.4002
0.9985022466300549,0.9993326659993327,0.4004
0.9977550511349463,0.9983308295776999,0.401
0.9940357852882704,0.9968206157965194,0.4019
0.991571641051066,0.9927924907810929,0.4043
0.9876543209876543,0.9870588235294118,0.4077
0.983284169124877,0.9785906945380984,0.4127
0.9696969696969697,0.9668085106382979,0.4195
0.95488183337312,0.9449320254689382,0.432
0.948316737790422,0.911968177101349,0.4509
0.9374267635340989,0.8731903017617303,0.4727
0.9180628873077806,0.823852560694666,0.4994
0.9029345372460497,0.7574506283662478,0.5351
0.8946544397226571,0.677880267679508,0.5781
0.8932559178204555,0.5921767475552335,0.6252
0.8875083203905036,0.503003823047515,0.673
0.898069151324652,0.41633609808871264,0.7237
0.8924107142857143,0.33097826086956517,0.7691
0.9066333484779645,0.25294748124330113,0.8173
0.9215459384401758,0.18964606444796617,0.8584
0.9271368519383466,0.133788037775446,0.8923
0.9473432264241264,0.09361044314668499,0.9235
0.95669099756691,0.06230899830220715,0.9455
0.9649863421902161,0.03783693286455714,0.9633
0.9787615148413511,0.023473407747866104,0.9774
0.9859751256946282,0.014467127471467611,0.9857
0.9882449425915801,0.007410911384421293,0.991
0.9948527309122105,0.004459480239889291,0.9953
0.9951763641845041,0.0019452341762681291,0.9971
0.9970883209317373,0.0005789549862498244,0.9987
0.9996422182468694,0.0004163775156141858,0.9996
0.9991967871485944,0.00013315579227701768,0.9997
0.9995406522737712,0.0,0.9999
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
