TPR,FPR,Accuary
1.0,1.0,0.5
1.0,1.0,0.5
1.0,1.0,0.5
1.0,1.0,0.5
1.0,1.0,0.5
1.0,1.0,0.5
1.0,1.0,0.5
1.0,1.0,0.5
1.0,1.0,0.5
1.0,1.0,0.5
1.0,1.0,0.5
1.0,1.0,0.5
1.0,1.0,0.5
1.0,1.0,0.5
1.0,1.0,0.5
0.9999000099990001,1.0,0.5
0.9999000099990001,0.9998999899989999,0.50005
1.0,0.9998,0.5001
0.9995002498750625,0.999799899949975,0.5001
0.9992006394884093,0.9992994395516414,0.50035
0.9983028850953379,0.998497445657618,0.50075
0.9975062344139651,0.9967919799498747,0.5016
0.9958175662218681,0.9942759590279172,0.50285
0.9922603691208574,0.9900221729490022,0.50495
0.9878494517435543,0.9820795788194796,0.50885
0.9802960494069209,0.9693846310848045,0.515
0.9732360097323601,0.9484832904884318,0.52505
0.9656237929702588,0.919535462463708,0.5388
0.9534706331045004,0.8809924306139613,0.5566
0.938520743382767,0.8265568157500535,0.581
0.9314392175128086,0.7543443065299514,0.61375
0.9272929611425392,0.6732125420418791,0.65055
0.9183504775900073,0.5834064969271291,0.68975
0.9264269829503335,0.49109470026064295,0.7342
0.9260494856825132,0.4043870127049626,0.7739
0.9283457249070632,0.31958874458874453,0.8138
0.9362161148109933,0.2433879430345861,0.85235
0.945514950166113,0.17950343370311672,0.88635
0.9553185356010377,0.12863546335869902,0.91505
0.9616057542768274,0.08638797364085671,0.9383
0.9729168725906889,0.0571688758474147,0.95805
0.979684199939656,0.03609426270259519,0.97175
0.9865045843205934,0.02253959001262995,0.98185
0.9896820383238577,0.012759474385831249,0.9884
0.9950054288816503,0.008155699721964838,0.9933
0.9949670059277486,0.0038882358260240446,0.9956
0.9977780376564145,0.002096252947855759,0.99785
0.99901828445208,0.0013500970382246402,0.9988
0.9988370590515571,0.0005709159122421203,0.9992
0.9991722996275348,7.84252215512149e-05,0.99965
0.9998526377836723,0.0,0.99995
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
