TPR,FPR,Accuary
1.0,1.0,0.2
1.0,1.0,0.2
1.0,1.0,0.2
1.0,1.0,0.2
1.0,1.0,0.2
1.0,1.0,0.2
1.0,1.0,0.2
1.0,1.0,0.2
1.0,1.0,0.2
1.0,1.0,0.2
1.0,1.0,0.2
1.0,1.0,0.2
1.0,1.0,0.2
1.0,1.0,0.2
1.0,1.0,0.2
1.0,0.9999375,0.20005
1.0,0.999875,0.2001
1.0,0.999875,0.2001
1.0,0.9995625,0.20035
1.0,0.9990625,0.20075
1.0,0.998,0.2016
1.0,0.9964375,0.20285
1.0,0.9938125,0.20495
1.0,0.9889375,0.20885
1.0,0.98125,0.215
1.0,0.9686875,0.22505
1.0,0.9515,0.2388
1.0,0.92925,0.2566
1.0,0.8987499999999999,0.281
1.0,0.85775,0.3138
1.0,0.81175,0.3506
1.0,0.76275,0.3898
1.0,0.7071875000000001,0.43425
1.0,0.6575,0.474
1.0,0.6073124999999999,0.51415
1.0,0.558875,0.5529
1.0,0.515875,0.5873
1.0,0.47875,0.617
1.0,0.4485,0.6412
1.0,0.42074999999999996,0.6634
1.0,0.40049999999999997,0.6796
1.0,0.38149999999999995,0.6948
1.0,0.363,0.7096
1.0,0.34587500000000004,0.7233
1.0,0.32825000000000004,0.7374
1.0,0.3086875,0.75305
1.0,0.28474999999999995,0.7722
1.0,0.2598125,0.79215
1.0,0.2335625,0.81315
1.0,0.20274999999999999,0.8378
1.0,0.1740625,0.86075
1.0,0.14518750000000002,0.88385
1.0,0.11806249999999996,0.90555
1.0,0.09118749999999998,0.92705
1.0,0.06881250000000005,0.94495
1.0,0.050562499999999955,0.95955
1.0,0.03687499999999999,0.9705
1.0,0.024687499999999973,0.98025
1.0,0.017187500000000022,0.98625
1.0,0.011375000000000024,0.9909
0.9995,0.00737500000000002,0.994
0.9989994997498749,0.004624421947256541,0.9961
0.9979969954932398,0.0024990628514307556,0.9976
0.997491219267436,0.0011864618458848897,0.99855
0.9959758551307847,0.0005616575137293855,0.99875
0.9954545454545455,0.00024937655860346464,0.9989
0.9863013698630136,0.00018682276746795345,0.99715
0.9822530864197531,6.206554121146457e-05,0.9965
0.9759099240638911,6.180087757245989e-05,0.99535
0.9600214649852428,6.145148405334311e-05,0.9925
0.9401900503074343,0.0,0.9893
0.9328180737217598,0.0,0.9887
0.9104525175270873,0.0,0.98595
0.8928946447322366,0.0,0.9847
0.8565268522148177,0.0,0.9817
0.8379862700228833,0.0,0.9823
0.7957400327689788,0.0,0.9813
0.7590940288263556,0.0,0.98245
0.744122965641953,0.0,0.98585
0.6646415552855407,0.0,0.9862
0.6782449725776966,0.0,0.9912
0.628032345013477,0.0,0.9931
0.6266094420600858,0.0,0.99565
0.5821917808219178,0.0,0.99695
0.47058823529411764,0.0,0.99775
0.475,0.0,0.99895
0.3684210526315789,0.0,0.9994
0.42857142857142855,0.0,0.9998
0.3333333333333333,0.0,0.9999
1.0,0.0,1.0
1.0,0.0,1.0
0.0,0.0,0.99995
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
0,0.0,1.0
