TPR,FPR,Accuary
0.9997998599019313,0.9997998599019313,0.5001
0.9990996398559424,0.9990996398559424,0.50045
0.9986973947895792,0.9986973947895792,0.50065
0.996688077077479,0.996688077077479,0.50165
0.9930667202572347,0.9930667202572347,0.50345
0.9881782358290391,0.9881782358290391,0.50585
0.9777373001416717,0.9777373001416717,0.511
0.9655242758057936,0.9655242758057936,0.5169
0.9450391107451627,0.9450391107451627,0.5267
0.9145424153781864,0.9145424153781864,0.5409
0.868828297715549,0.868828297715549,0.5623
0.8141291626768805,0.8141291626768805,0.58735
0.746873652436395,0.746873652436395,0.6174
0.6681071737251513,0.6681071737251513,0.6536
0.583315134308801,0.583315134308801,0.6908
0.48987411056376573,0.48987411056376573,0.7329
0.3989564083052506,0.3989564083052506,0.77625
0.3148108108108108,0.3148108108108108,0.8165
0.2396446537514717,0.2396446537514717,0.8544
0.17701076630778975,0.17701076630778975,0.88805
0.12533861221087728,0.12533861221087728,0.91615
0.08485720156153688,0.08485720156153688,0.93985
0.05615027267218744,0.05615027267218744,0.9587
0.03456495828367104,0.03456495828367104,0.9722
0.022083860297694328,0.022083860297694328,0.9826
0.013895498239269059,0.013895498239269059,0.98865
0.007238307349665924,0.007238307349665924,0.9927
0.003418803418803419,0.003418803418803419,0.9961
0.0020043572984749457,0.0020043572984749457,0.9981
0.0010951057198214135,0.0010951057198214135,0.99885
0.00024374390640233994,0.00024374390640233994,0.99935
7.830853563038371e-05,7.830853563038371e-05,0.99985
7.575183698204681e-05,7.575183698204681e-05,0.99995
7.306736811340056e-05,7.306736811340056e-05,0.99995
7.057163020465773e-05,7.057163020465773e-05,0.99995
6.870491240123669e-05,6.870491240123669e-05,0.99995
6.713211600429645e-05,6.713211600429645e-05,0.99995
